,ID,Severity,Start_Time,End_Time,Distance(mi),Description,Number,Street,Side,City,State,Zipcode,Country,Timezone,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Precipitation(in),Weather_Condition
24,A-99,2,2/11/2016 8:40,2/11/2016 14:40,0.228,At OH-562/Exit 7 - Accident.,,I-75 N,R,Cincinnati,OH,45237,US,US/Eastern,2/11/2016 8:53,17.1,62,30.33,10,,Clear
25,A-103,2,2/11/2016 9:06,2/11/2016 15:06,0.178,At US-22/OH-3/OH-561 - Accident.,,Norwood Lateral Expy E,R,Cincinnati,OH,45212,US,US/Eastern,2/11/2016 8:53,17.1,62,30.33,10,,Clear
26,A-107,3,2/11/2016 10:33,2/11/2016 16:33,0.251,Between 41st St/Exit 169 and I-71/I-90/OH-176/Exit 170 - Accident.,,I-90 E,R,Cleveland,OH,44113,US,US/Eastern,2/11/2016 10:53,19,62,30.2,9,,Overcast
27,A-111,2,2/11/2016 12:12,2/11/2016 18:12,0.438,At McKinley Ave/Exit 164 - Accident.,,Northwest Fwy W,R,Lakewood,OH,44107,US,US/Eastern,2/11/2016 11:51,16,71,30.26,2,0,Light Snow
28,A-115,2,2/11/2016 13:56,2/11/2016 19:56,0.224,At I-77/OH-8/Exit 23 - Accident.,,I-76 W,R,Akron,OH,44311,US,US/Eastern,2/11/2016 13:54,19,52,30.21,10,,Overcast
29,A-119,2,2/11/2016 16:56,2/11/2016 22:56,0,At I-279/Exit 72 - Accident.,2400, Rochester Rd,L,Sewickley,PA,15143-8606,US,US/Eastern,2/11/2016 16:51,17.1,50,30.27,10,0,Mostly Cloudy
30,A-123,2,2/11/2016 17:16,2/11/2016 23:16,3.033,Between OH-252/Columbia Rd/Exit 159 and Crocker Rd/Exit 156 - Accident.,,Northwest Fwy W,R,Westlake,OH,44145,US,US/Eastern,2/11/2016 17:22,18,65,30.27,2.5,0,Light Snow
31,A-127,2,2/11/2016 18:33,2/12/2016 0:33,0.192,Ramp to Exit 101 - Accident. in the left lane.,,Outerbelt E,R,Grove City,OH,43123,US,US/Eastern,2/11/2016 18:35,16.5,70,30.29,10,,Mostly Cloudy
32,A-131,2,2/11/2016 19:21,2/12/2016 1:21,0.16,At I-670/Spring St/Long St/Exit 109A - Accident. in the right lane.,,North Fwy S,R,Columbus,OH,43203,US,US/Eastern,2/11/2016 19:51,17.1,62,30.35,10,0,Mostly Cloudy
33,A-135,2,2/11/2016 20:09,2/12/2016 2:09,0,At Arlington St - Accident. in the left lane.,,S Arlington St,R,Akron,OH,44306,US,US/Eastern,2/11/2016 19:54,9,73,30.31,10,,Clear
34,A-139,4,2/12/2016 19:29,2/13/2016 1:29,9.702,Closed at US-19/Exit 15 - Road closed due to accident.,,I-80 E,R,West Middlesex,PA,16159,US,US/Eastern,2/12/2016 19:51,17.6,86,29.94,9,0,Light Snow
35,A-143,4,2/12/2016 22:28,2/13/2016 4:28,10.366,Closed between IN-26/Exit 55 and US-35/IN-28/Exit 45 - Road closed due to accident.,,I-69 S,R,Fairmount,IN,46928,US,US/Eastern,2/12/2016 22:35,15.3,57,30.29,10,,Scattered Clouds
36,A-147,2,2/12/2016 23:04,2/13/2016 5:04,6.1,Between KY-80/Exit 41 and I-71/Exit 173 - Accident. in the left lane.,,I-75 N,R,Crittenden,KY,41030,US,US/Eastern,2/12/2016 22:52,19.9,68,30.29,10,0,Overcast
37,A-151,4,2/13/2016 16:00,2/13/2016 22:00,1.736,Closed between US-52/Exit 71 and Five Mile Rd/Exit 69 - Road closed due to accident.,,I-275 E,R,Cincinnati,OH,45230,US,US/Eastern,2/13/2016 15:53,19.9,42,30.57,10,,Clear
38,A-155,4,2/14/2016 3:58,2/14/2016 9:58,0.794,Closed between I-279/Exit 70C and Grant St/Exit 71A - Road closed due to accident.,,Parkway East,R,Pittsburgh,PA,15222,US,US/Eastern,2/14/2016 3:53,5,80,30.5,10,,Clear
39,A-159,3,2/14/2016 17:40,2/14/2016 23:40,0.346,At IN-67/IN-9/Exit 22 - Accident.,,I-69 N,R,Anderson,IN,46013,US,US/Eastern,,,,,,,
40,A-163,4,2/15/2016 2:01,2/15/2016 8:01,2.632,Closed between PA-917/Exit 32 and PA-481/Exit 35 - Road closed due to accident.,,I-70 W,R,Bentleyville,PA,15314,US,US/Eastern,2/15/2016 1:55,19.4,74,30.15,10,,Overcast
41,A-167,2,2/15/2016 5:45,2/15/2016 11:45,1.469,Between I-71 and US-23/Third St/Fourth St/Exit 4 - Accident.,,I-670 W,R,Columbus,OH,43203,US,US/Eastern,2/15/2016 5:51,21.9,89,30.06,5,0,Light Freezing Drizzle
42,A-171,4,2/15/2016 6:57,2/15/2016 12:57,0.295,At IN-111/Grant Line Rd/Exit 3 - Accident.,,I-265 E,R,New Albany,IN,47150,US,US/Eastern,2/15/2016 6:53,30.9,96,30.01,2,,Overcast
43,A-175,2,2/15/2016 7:14,2/15/2016 13:14,2.602,Between US-23/High St/Exit 52 and I-71/Exit 55 - Accident.,,Outerbelt W,R,Columbus,OH,43207,US,US/Eastern,2/15/2016 7:15,25.2,96,30.02,1.2,,Overcast
44,A-179,4,2/15/2016 8:54,2/15/2016 14:54,2.065,Closed between OH-709 and Wren Landeck Rd - Road closed due to accident.,513, W Carmean St,R,Ohio City,OH,45874-9037,US,US/Eastern,2/15/2016 8:53,24.1,91,30.01,5,,Overcast
45,A-183,4,2/15/2016 10:56,2/15/2016 16:56,1.036,Closed between Wren Landeck Rd and Glenmore Rd - Road closed due to accident.,10763, Wren Landeck Rd,L,Van Wert,OH,45891-9236,US,US/Eastern,2/15/2016 10:53,27,92,29.99,10,,Overcast
46,A-187,2,2/15/2016 14:07,2/15/2016 20:07,1.158,Between US-52/Hopple St/Exit 3 and Western Hills Viad/Exit 2 - Accident.,,I-75 S,R,Cincinnati,OH,45225,US,US/Eastern,2/15/2016 13:53,35.1,92,29.94,2,,Overcast
47,A-191,2,2/15/2016 19:02,2/16/2016 1:02,1.645,At US-62/OH-3/Exit 94 - Accident.,,I-71 N,R,Orient,OH,43146,US,US/Eastern,2/15/2016 18:55,33.1,100,29.86,1.8,,Overcast
48,A-195,4,2/15/2016 23:04,2/16/2016 5:04,0.501,Closed between IN-218 and IN-18 - Road closed due to accident.,9797, S State Road 1,R,Keystone,IN,46759-9773,US,US/Eastern,2/15/2016 22:55,29.8,73,29.82,7,,Overcast
49,A-199,4,2/16/2016 2:45,2/16/2016 8:45,10.322,Closed between OH-541/CR-831/Exit 54 and US-36/Exit 65 - Road closed due to accident.,,I-77 N,R,Kimbolton,OH,43749,US,US/Eastern,2/16/2016 2:53,34,92,29.69,0.8,0.1,Light Snow
50,A-203,3,2/16/2016 6:09,2/16/2016 12:09,0.635,At US-23/Exit 23 - Accident.,,Outerbelt W,R,Columbus,OH,43235,US,US/Eastern,2/16/2016 5:53,33.1,96,29.71,5,0,Overcast
51,A-207,3,2/16/2016 8:11,2/16/2016 14:11,0.635,At US-23/Exit 23 - Accident.,,Outerbelt W,R,Columbus,OH,43235,US,US/Eastern,2/16/2016 7:53,32,96,29.75,3,,Overcast
52,A-211,4,2/16/2016 8:59,2/16/2016 14:59,0.719,Closed at I-680 - Road closed due to accident.,,OH-711 S,R,Youngstown,OH,44509,US,US/Eastern,2/16/2016 8:51,30,92,29.68,0.8,,Light Freezing Drizzle
53,A-215,2,2/16/2016 9:13,2/16/2016 15:13,1.275,Between Grant Ave/Exit 158 and OH-21/Brecksville Rd/Exit 157 - Accident.,,I-77 S,R,Cleveland,OH,44105,US,US/Eastern,2/16/2016 9:10,32,96,29.73,1,0,Light Snow
54,A-219,2,2/16/2016 9:54,2/16/2016 15:54,0.125,At Wolf Ledges/Exit 22 - Accident.,,I-77 N,R,Akron,OH,44311,US,US/Eastern,2/16/2016 9:54,34,89,29.72,1.2,0,Light Snow
55,A-223,2,2/16/2016 11:46,2/16/2016 17:46,0.376,At US-27/IN-1/IN-3/Lima Rd/Exit 111 - Accident.,,US-24 E,R,Fort Wayne,IN,46818,US,US/Eastern,2/16/2016 11:54,28.9,82,29.86,8,0,Light Freezing Drizzle
56,A-227,2,2/16/2016 12:40,2/16/2016 18:40,0.207,At I-74/US-52/US-27/Exit 4 - Accident.,,I-74 W,R,Cincinnati,OH,45225,US,US/Eastern,2/16/2016 12:53,36,73,29.85,10,,Overcast
57,A-231,2,2/16/2016 14:38,2/16/2016 20:38,0.265,At OH-65/Miami St/Exit 199 - Accident.,,I-75 N,R,Northwood,OH,43619,US,US/Eastern,2/16/2016 14:53,32,75,29.79,9,,Overcast
58,A-235,2,2/16/2016 16:42,2/16/2016 22:42,0.15,At US-50/Exit 119 - Accident.,,US-50 W,R,Bridgeport,WV,26330,US,US/Eastern,2/16/2016 16:53,34,96,29.77,4,0,Overcast
59,A-239,3,2/16/2016 18:13,2/17/2016 0:13,0.392,At Graham Rd - Accident.,,OH-8 S,R,Stow,OH,44224,US,US/Eastern,2/16/2016 17:54,32,79,29.81,8,,Overcast
60,A-243,4,2/17/2016 1:46,2/17/2016 7:46,22.892,Closed between I-69/US-27/Exit 144 and IN-9/Exit 121 - Road closed due to accident.,,I-80 W,R,Fremont,IN,46737,US,US/Eastern,2/17/2016 1:55,28.4,93,29.92,6,,Overcast
61,A-247,4,2/17/2016 7:57,2/17/2016 13:57,0.863,Closed at Avery Rd - Road closed due to accident.,7579, Muirfield Dr,R,Dublin,OH,43017,US,US/Eastern,2/17/2016 7:53,30,85,30.11,3,,Overcast
62,A-251,3,2/17/2016 8:15,2/17/2016 14:15,0.884,Between Avery Rd and Dunabbey Loop - Accident.,,Avery Rd,R,Dublin,OH,43017,US,US/Eastern,2/17/2016 7:53,30,85,30.11,3,,Overcast
63,A-255,2,2/17/2016 9:27,2/17/2016 15:27,0.371,At US-127/Exit 36 - Accident.,,I-275 E,R,Cincinnati,OH,45231,US,US/Eastern,2/17/2016 9:29,33.1,85,30.2,5,,Overcast
64,A-259,2,2/17/2016 11:51,2/17/2016 17:51,0.205,At Mt Perry Rd/Exit 142 - Accident.,,Mount Perry Rd,R,Heath,OH,43056,US,US/Eastern,2/17/2016 11:54,34,75,30.19,5,,Haze
65,A-263,2,2/17/2016 16:56,2/17/2016 22:56,0.407,At I-71/Exit 49 - Accident. in the right lane.,,I-275 E,R,Cincinnati,OH,45242,US,US/Eastern,2/17/2016 16:53,36,67,30.32,10,,Overcast
66,A-267,2,2/18/2016 4:59,2/18/2016 10:59,1.979,Between 140th St/152nd St/Exit 180 and 185th St/Waterloo Rd/Exit 182 - Accident.,,OH-2 E,R,Cleveland,OH,44110,US,US/Eastern,2/18/2016 6:45,12.2,85,30.48,10,,Clear
67,A-271,2,2/18/2016 7:05,2/18/2016 13:05,3.832,Between Madison/Pickaway County Line and OH-56/Exit 84 - Accident.,,I-71 S,R,Orient,OH,43146,US,US/Eastern,2/18/2016 7:18,24.8,80,30.46,7,,Overcast
68,A-275,3,2/18/2016 7:24,2/18/2016 13:24,0.31,At Eddy Rd/Exit 178 - Accident.,,OH-283 W,R,Cleveland,OH,44108,US,US/Eastern,2/18/2016 7:53,18,74,30.55,10,,Clear
69,A-279,3,2/18/2016 8:32,2/18/2016 14:32,0.398,At Woodland Ave/Exit 162 - Accident.,,I-77 N,R,Cleveland,OH,44115,US,US/Eastern,2/18/2016 8:53,19.9,71,30.59,10,,Clear
70,A-283,2,2/18/2016 8:45,2/18/2016 14:45,0.102,At US-62/Exit 107 - Accident.,,I-77 N,R,Canton,OH,44718,US,US/Eastern,2/18/2016 8:51,17.1,81,30.58,8,,Clear
71,A-287,2,2/18/2016 9:33,2/18/2016 15:33,0.59,At I-77/Exit 2 - Accident.,,I-490 E,R,Cleveland,OH,44115,US,US/Eastern,2/18/2016 9:53,24.1,62,30.59,10,,Clear
72,A-291,2,2/18/2016 10:49,2/18/2016 16:49,0.081,At Edmondson Rd/Exit 6 - Accident.,,I-71 N,R,Cincinnati,OH,45209,US,US/Eastern,2/18/2016 10:53,37,65,30.56,10,,Clear
73,A-295,2,2/18/2016 15:21,2/18/2016 21:21,0.222,At OH-4/Paddock Rd - Accident. in the left lane.,,Norwood Lateral Expy W,R,Cincinnati,OH,45237,US,US/Eastern,2/18/2016 14:53,43,51,30.47,10,,Clear
74,A-299,4,2/19/2016 3:08,2/19/2016 9:08,0.446,Closed at I-71/I-90/OH-176/Exit 170 - Road closed due to accident.,,I-90 E,R,Cleveland,OH,44113,US,US/Eastern,2/19/2016 2:53,33.1,52,30.26,10,,Overcast
75,A-303,2,2/19/2016 7:38,2/19/2016 13:38,0.679,At I-265/KY-841/Exit 9 - Accident.,,I-71 N,R,Louisville,KY,40241,US,US/Eastern,2/19/2016 7:53,51.1,48,30.09,10,,Clear
76,A-307,2,2/19/2016 9:00,2/19/2016 15:00,0.452,At US-422/OH-87/Chagrin BL/Exit 29 - Accident.,,Outerbelt East Fwy S,R,Beachwood,OH,44122,US,US/Eastern,2/19/2016 8:45,37.4,56,30.03,10,,Overcast
77,A-311,2,2/19/2016 11:32,2/19/2016 17:32,9.349,Between Polaris Pky/Exit 121 and US-36/OH-37/Exit 131 - Accident.,,North Fwy N,R,Columbus,OH,43240,US,US/Eastern,2/19/2016 11:53,50,50,29.96,10,,Partly Cloudy
78,A-315,2,2/19/2016 13:43,2/19/2016 19:43,1.308,Between Morse Rd/Exit 116 and Cooke Rd/Exit 115 - Accident.,,North Fwy S,R,Columbus,OH,43229,US,US/Eastern,2/19/2016 13:53,57,45,29.84,10,,Clear
79,A-319,2,2/19/2016 14:58,2/19/2016 20:58,0.454,At I-71/I-90/OH-176/Exit 1 - Accident.,,Northwest Fwy W,R,Cleveland,OH,44113,US,US/Eastern,2/19/2016 14:53,54,43,29.73,10,,Overcast
80,A-323,2,2/19/2016 16:03,2/19/2016 22:03,0.833,Between US-42/US-60/Mellwood Ave/Exit 7 and I-71/Exit 6 - Accident.,,I-64 W,R,Louisville,KY,40206,US,US/Eastern,2/19/2016 15:53,64.9,33,29.95,10,,Overcast
81,A-327,2,2/19/2016 16:34,2/19/2016 22:34,0.516,At US-33/Exit 46 - Accident.,,Outerbelt S,R,Columbus,OH,43232,US,US/Eastern,2/19/2016 16:51,57.9,42,29.82,10,,Overcast
82,A-331,2,2/19/2016 18:21,2/20/2016 0:21,0.104,At WV-310/Exit 137 - Accident.,,I-79 S,R,Fairmont,WV,26554,US,US/Eastern,2/19/2016 17:53,57,37,29.94,10,,Overcast
83,A-335,4,2/19/2016 19:32,2/20/2016 1:32,0.687,Closed at Johnson Rd - Road closed due to accident.,7851, Goshen Rd,L,Fort Wayne,IN,46818-9691,US,US/Eastern,2/19/2016 19:54,55.9,47,29.77,10,,Mostly Cloudy
84,A-339,4,2/19/2016 20:23,2/20/2016 2:23,1.291,Closed at County Road S - Road closed due to accident.,16688, State Route 64,R,Metamora,OH,43540-9701,US,US/Eastern,2/19/2016 20:52,55.9,47,29.67,10,,Overcast
85,A-343,2,2/20/2016 12:52,2/20/2016 18:52,0.303,Past KY-9/Aa Hwy - Accident.,,Alexandria Pike,R,Newport,KY,41076,US,US/Eastern,2/20/2016 12:53,69.1,44,29.99,10,,Clear
86,A-347,4,2/21/2016 6:39,2/21/2016 12:39,10.366,Closed between IN-26/Exit 55 and US-35/IN-28/Exit 45 - Road closed due to accident.,,I-69 S,R,Fairmount,IN,46928,US,US/Eastern,2/21/2016 6:35,34.9,66,29.99,10,,Clear
87,A-351,3,2/21/2016 21:06,2/22/2016 3:06,0.473,At US-119/Exit 1 - Accident.,,I-79 N,R,Charleston,WV,25302,US,US/Eastern,2/21/2016 20:54,51.1,89,29.96,8,0.11,Light Rain
88,A-355,2,2/22/2016 7:26,2/22/2016 13:26,1.866,Between OH-129/Exit 24 and Tylersville Rd/Exit 22 - Accident.,,I-75 S,R,Middletown,OH,45044,US,US/Eastern,2/22/2016 7:35,34.2,85,30.17,10,,Clear
89,A-359,2,2/22/2016 8:42,2/22/2016 14:42,1.467,Ramp to Easton Way - Accident.,,Outerbelt S,R,Columbus,OH,43230,US,US/Eastern,2/22/2016 8:51,35.1,76,30.17,10,,Scattered Clouds
90,A-363,4,2/22/2016 9:32,2/22/2016 15:32,1.76,Closed at Fairview Blvd/Kammerer Rd - Road closed due to accident.,817, US Highway 6,L,Corunna,IN,46730-9733,US,US/Eastern,2/22/2016 9:35,33.8,87,30.19,7,,Overcast
91,A-367,4,2/22/2016 16:40,2/22/2016 22:40,0.559,Closed between OH-261/E Tallmadge Ave and E Glenwood Ave - Road closed due to accident.,,OH-59 S,R,Akron,OH,44310,US,US/Eastern,2/22/2016 16:54,46,40,30.13,10,,Clear
92,A-371,3,2/22/2016 19:35,2/23/2016 1:35,0.312,Ramp to I-280/OH-420/Exit 71 - Accident.,3181, Libbey Rd,L,Perrysburg,OH,43551-9740,US,US/Eastern,2/22/2016 19:53,30,75,30.21,10,,Clear
93,A-375,4,2/22/2016 21:44,2/23/2016 3:44,2.099,Closed between Whipple Ave NW/Exit 109A and US-62/Exit 107 - Road closed due to accident.,,I-77 S,R,Canton,OH,44709,US,US/Eastern,2/22/2016 21:51,30.9,67,30.15,10,,Partly Cloudy
94,A-379,2,2/23/2016 5:15,2/23/2016 11:15,0.707,At OH-725/Exit 2 - Accident.,,I-675 S,R,Dayton,OH,45459,US,US/Eastern,2/23/2016 4:53,30,72,30.02,10,,Clear
95,A-383,2,2/23/2016 8:11,2/23/2016 14:11,0.219,At I-71/US-50/Exit 1 - Accident.,,US-50 E,R,Cincinnati,OH,45202,US,US/Eastern,2/23/2016 7:53,30.9,82,30.02,10,,Clear
96,A-387,2,2/23/2016 10:20,2/23/2016 16:20,0.999,At I-77/WV-2/Exit 176 - Accident.,14275, US Highway 50,L,Waverly,WV,26184,US,US/Eastern,2/23/2016 9:53,46,56,30.02,10,,Partly Cloudy
97,A-391,3,2/23/2016 12:06,2/23/2016 18:06,0.481,Between Warrington Ave and Timberland Ave - Accident.,,Saw Mill Run Blvd,R,Pittsburgh,PA,15211,US,US/Eastern,2/23/2016 11:53,50,57,30.1,10,,Overcast
98,A-395,4,2/23/2016 14:28,2/23/2016 20:28,2.684,Closed at Jasper Rd - Road closed due to accident.,2933, State Route 72 S,L,Jamestown,OH,45335,US,US/Eastern,2/23/2016 14:56,55.9,51,29.96,10,,Clear
99,A-399,2,2/23/2016 15:59,2/23/2016 21:59,0.372,At Greenlawn Ave/Exit 105 - Accident.,,South Fwy N,R,Columbus,OH,43223,US,US/Eastern,2/23/2016 15:50,55.4,54,29.92,10,,Scattered Clouds
100,A-403,3,2/23/2016 17:16,2/23/2016 23:16,3.051,Between US-33/Exit 46 and Alum Creek Dr/Exit 49 - Accident.,,Outerbelt S,R,Columbus,OH,43232,US,US/Eastern,2/23/2016 16:51,54,51,29.93,10,,Mostly Cloudy
101,A-407,4,2/23/2016 18:04,2/24/2016 0:04,1.058,Closed at CR-201/Banker St - Road closed due to accident.,62481, N M 66,R,Burr Oak,MI,49030,US,US/Eastern,2/23/2016 17:55,40.1,52,30.01,10,,Clear
102,A-411,3,2/23/2016 21:51,2/24/2016 3:51,3.939,Between OH-665/Exit 97 and Stringtown Rd/Exit 100 - Accident.,,South Fwy N,R,Grove City,OH,43123,US,US/Eastern,2/23/2016 21:55,46.2,69,29.84,10,,Mostly Cloudy
103,A-415,3,2/24/2016 7:22,2/24/2016 13:22,0.023,At IN-160/Exit 19 - Accident.,,I-65 S,R,Henryville,IN,47126,US,US/Eastern,2/24/2016 7:27,52,89,29.2,7,0.09,Light Rain
104,A-419,2,2/24/2016 7:45,2/24/2016 13:45,0.226,At US-150/Exit 119 - Accident.,,IN-62 E,R,New Albany,IN,47150,US,US/Eastern,2/24/2016 7:53,52,93,29.18,7,0.09,Overcast
105,A-423,2,2/24/2016 8:11,2/24/2016 14:11,0.345,At Ackerman Rd - Accident.,,Olentangy Fwy S,R,Columbus,OH,43202,US,US/Eastern,2/24/2016 7:53,43,93,29.41,5,0.08,Rain
106,A-427,3,2/24/2016 8:26,2/24/2016 14:26,0.141,At Exit 7 - Accident.,,Norwood Lateral Expy W,R,Cincinnati,OH,45237,US,US/Eastern,2/24/2016 8:13,50,100,29.27,10,,Overcast
107,A-431,2,2/24/2016 10:14,2/24/2016 16:14,0.114,At Livingston Ave/Exit 103 - Accident.,,East Fwy W,R,Columbus,OH,43209,US,US/Eastern,2/24/2016 9:51,46.9,90,29.32,10,0,Light Rain
108,A-435,2,2/24/2016 10:49,2/24/2016 16:49,0,At Nadeau Rd/Exit 18 - Accident.,,Nadeau Rd,R,Monroe,MI,48162,US,US/Eastern,2/24/2016 10:52,33.8,93,29.5,5,0.03,Light Rain
109,A-439,4,2/24/2016 12:27,2/24/2016 18:27,3.07,Closed between County Road 50 and County Road 1350 N - Road closed due to accident.,19651, County Road 50,L,New Paris,IN,46553-9775,US,US/Eastern,2/24/2016 12:53,33.1,89,29.4,0.8,0.04,Light Snow
110,A-443,3,2/24/2016 14:18,2/24/2016 20:18,1.267,At OH-123/Exit 36 - Accident.,,I-75 N,R,Franklin,OH,45005,US,US/Eastern,2/24/2016 14:09,53.1,86,29.14,10,0.01,Light Rain
111,A-447,3,2/24/2016 16:26,2/24/2016 22:26,1.309,Between Hilliard Rome Rd/Exit 91 and I-270/Exit 93 - Accident.,,I-70 E,R,Columbus,OH,43228,US,US/Eastern,2/24/2016 16:50,53.6,82,29.19,10,,Overcast
112,A-451,2,2/24/2016 16:36,2/24/2016 22:36,0.3,At I-71 - Accident.,,Ronald Reagan Cross County Hwy E,R,Cincinnati,OH,45242,US,US/Eastern,2/24/2016 16:53,46.9,71,29.28,10,,Overcast
